"avandia n","avandia MIs","control n","control MIs"
357,2,176,0
391,2,207,1
774,1,185,1
213,0,109,1
232,1,116,0
43,0,47,1
121,1,124,0
110,5,114,2
382,1,384,0
284,1,135,0
294,0,302,1
563,2,142,0
278,2,279,1
418,2,212,0
395,2,198,1
203,1,106,1
104,1,99,2
212,2,107,0
138,3,139,1
196,0,96,0
122,0,120,1
175,0,173,1
56,1,58,0
39,1,38,0
561,0,276,2
116,2,111,3
148,1,143,0
231,1,242,0
89,1,88,0
168,1,172,0
116,0,61,0
1172,1,377,0
706,0,325,0
204,1,185,2
288,1,280,0
254,1,272,0
314,1,154,0
162,0,160,0
442,1,112,0
394,1,124,0
2635,15,2634,9
1456,27,2895,41
